,alpha,l,h,N,mean: m=0,variance: m=0,mean: m=0.1,variance: m=0.1,mean: m=0.2,variance: m=0.2,mean: m=0.5,variance: m=0.5,mean: m=0.8,variance: m=0.8,mean: m=0.9,variance: m=0.9
0,0.5,1.0,1000000000.0,10.0,1969287.385041188,777177276129777.9,984674.2130452858,194294320739358.62,492366.33174406167,48573582287149.51,246186.45465945397,12143395464065.082,123096.40157794228,3035849032938.853,61557.49613360052,758962460577.9904
1,1.0,1.0,1000000000.0,10.0,1158.1976720947266,2259237586.715963,588.1469997817993,564808682.2752243,303.13048726139067,141202334.85263288,154.11157500610352,35300587.989397384,79.98162286930084,8825104.47521951,44.61281804409027,2206265.484912356
2,1.5,1.0,1000000000.0,10.0,74.93136941127777,25605.54007941711,44.017247209739686,6399.468343422741,28.72644093360901,1598.5747025614585,17.36825051755905,398.46608535434837,11.46630532593727,99.26086189733824,9.395984837436677,24.889009942326602
3,2.0,1.0,1000000000.0,10.0,38.170499467659,508.7652977272586,24.83587015542984,126.35412405275679,18.509053359889982,30.974963461641718,12.615099851036073,7.3185893497752055,8.588060440301895,2.065714073200857,7.4245124622821805,0.652339455132986
4,0.5,1.0,1000000000.0,100.0,127605617.8299,3.9295606027672056e+16,63802999.5226125,9823900869088100.0,31901683.88423125,2455975459065012.5,15950867.161121875,613993800694796.8,7975456.9392453125,153498450831069.8,3987789.078824219,38374656810896.89
5,1.0,1.0,1000000000.0,100.0,56233.801788476565,239243861130.6723,28187.414878759766,59810900267.6769,14162.76756706543,14952649420.93537,7100.530566174317,3738162753.2252274,3570.145762817383,934538690.4969372,1816.9516102478028,233632307.9833544
6,1.5,1.0,1000000000.0,100.0,1572.8545667724609,2087554.968815535,839.339252307129,522288.38741232775,472.7371035583496,130695.02213148822,258.25270626831053,32689.84446826464,145.14039073791503,8176.967101747465,97.8442309814453,2043.5500613686538
7,2.0,1.0,1000000000.0,100.0,523.4370604125977,15891.246870761532,308.1176356140137,3975.6235595013945,202.59703159179688,992.545820749316,125.9103055480957,240.5926450080813,75.98857675476074,60.45210609864951,62.501527746582035,13.392801032211265
8,0.5,1.0,1000000000.0,1000.0,3508923923.968,4.191909486744842e+17,1754462503.808,1.0479767860418256e+17,877232209.088,2.619936473473918e+16,438616154.72,6549839412833892.0,219308135.808,1637458485564285.0,109654560.776,409361096999530.44
9,1.0,1.0,1000000000.0,1000.0,3322800.3766875,133098675912684.27,1662119.8484375,33274603605322.54,831761.322375,8318749470736.863,416087.0296796875,2079723378386.4575,208237.6561328125,519925399209.19965,104428.64134179687,129980232793.6567
10,1.5,1.0,1000000000.0,1000.0,38746.353716796875,16065683343.945578,19910.033607421876,4016723878.2414207,10487.699392578124,1004297946.8795704,5457.657688964844,251092760.0686797,2878.267978515625,62771905.062386945,1681.4245642089843,15694601.155012244
11,2.0,1.0,1000000000.0,1000.0,6848.5571953125,4179235.8293872266,3895.5384599609374,1046601.9781583814,2430.9605703125,262227.1079971632,1447.234703125,65279.10820026467,847.5223796386719,16326.835898468993,655.2305249023437,4020.2414596719505
12,0.5,1.0,1000000000.0,10000.0,37572585758.72,1.6339733104457014e+18,18786293227.52,4.084932278298027e+17,9393147381.76,1.0212330628860336e+17,4696573711.36,2.5530828383130508e+16,2348286912.0,6382706383948841.0,1174143845.12,1595676828775643.2
13,1.0,1.0,1000000000.0,10000.0,216951115.44,4.311869505652137e+16,108482432.1,1.0779299456739164e+16,54248627.82,2694681410687662.5,27126727.61,673652921674703.0,13565493.1075,168420312899414.16,6786001.56625,42108584071276.06
14,1.5,1.0,1000000000.0,10000.0,737523.036875,259395921524.27307,374298.93375,64842887477.39191,192564.751171875,16207185643.339872,98444.192734375,4050165331.7460213,50716.84025390625,1012413183.5437053,27767.1427734375,252901964.54148188
15,2.0,1.0,1000000000.0,10000.0,82529.441640625,1305321931.5561063,46034.064140625,326142728.4779239,27863.53236328125,81498649.65673213,16213.421923828126,20291203.59761098,9345.658701171875,5079208.011551924,6957.894443359375,1261217.2622730753
