,p,N,mean: m=0,variance: m=0,mean: m=0.1,variance: m=0.1,mean: m=0.2,variance: m=0.2,mean: m=0.5,variance: m=0.5,mean: m=0.8,variance: m=0.8,mean: m=0.9,variance: m=0.9
0,0.25,10.0,6.356,1.5196640000000001,4.23141875,1.5484145027734373,2.6142421875,0.8614687665405274,0.6987736343383789,0.1901278016695345,0.1977821644797921,0.029294709079043038,0.1320843335153535,0.016197867046545814
1,0.5,10.0,9.4692,0.9124513600000002,8.04805,1.0653661975000002,6.50015,1.2961499775,3.19185,0.65731779625,1.579828125,0.2575785446777344,1.2454828125,0.20067678739990233
2,0.25,100.0,66.4856,4.254592639999999,47.728,6.532016,28.1894,2.4406276399999993,4.969825,0.567480094375,0.98744375,0.0060488347265625,0.5552609375,0.009005548854980469
3,0.5,100.0,92.7372,2.10493616,88.8064,3.9887190400000008,69.7192,4.734751360000001,26.47925,4.9224631875,11.442025,0.05253421187499999,10.496525,0.191736361875
4,0.25,1000.0,654.476,13.389423999999998,512.868,28.471576000000006,298.99,8.546650000000001,43.940875,5.887078453125,10.071421875,0.006542836669921876,5.0828125,0.0010574951171874996
5,0.5,1000.0,915.158,7.565036000000001,907.883,13.623811000000002,729.499,15.746499,241.55525,51.0704786875,114.078,0.14805662499999997,106.4425,0.45225625
6,0.25,10000.0,6502.95,65.08749999999999,5250.72,136.0166,3050.33,30.951100000000007,417.2,71.526796875,101.298046875,0.021918182373046876,50.7421875,0.00433349609375
7,0.5,10000.0,9112.28,27.481600000000004,9099.92,53.473600000000005,7393.675,62.00187500000002,2324.6625,479.07421874999994,1138.405,0.5378500000000002,1073.72,1.1923031249999998
